date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:16:12	354895/354895	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:1ef08d3ad83e208368df1c1972ebcc70%22	https://6wripy-n1.myshopify.com/collections/decoracao	C:/Users/User/Downloads/TELANOVAPRODUTOS/TELANOVAPRODUTOS/6wripy-n1.myshopify.com/collections/decoracao.html	(from https://6wripy-n1.myshopify.com/collections/notebook)
02:16:12	392060/392060	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:4cd0b047737d4751f020a59fd7c5059e%22	https://6wripy-n1.myshopify.com/collections/diversao	C:/Users/User/Downloads/TELANOVAPRODUTOS/TELANOVAPRODUTOS/6wripy-n1.myshopify.com/collections/diversao.html	(from https://6wripy-n1.myshopify.com/collections/notebook)
02:16:13	429370/429370	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:884ec53f9c546a657cc078dac5c90aef%22	https://6wripy-n1.myshopify.com/collections/fogoes	C:/Users/User/Downloads/TELANOVAPRODUTOS/TELANOVAPRODUTOS/6wripy-n1.myshopify.com/collections/fogoes.html	(from https://6wripy-n1.myshopify.com/collections/notebook)
02:16:13	578665/578665	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:549e21dce517782b9ad6649fbec895e1%22	https://6wripy-n1.myshopify.com/collections/geladeiras	C:/Users/User/Downloads/TELANOVAPRODUTOS/TELANOVAPRODUTOS/6wripy-n1.myshopify.com/collections/geladeiras.html	(from https://6wripy-n1.myshopify.com/collections/notebook)
02:16:14	505077/505077	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:912285197328c44eec98af221a976782%22	https://6wripy-n1.myshopify.com/collections/guarda-roupas	C:/Users/User/Downloads/TELANOVAPRODUTOS/TELANOVAPRODUTOS/6wripy-n1.myshopify.com/collections/guarda-roupas.html	(from https://6wripy-n1.myshopify.com/collections/notebook)
02:16:14	354616/354616	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:d83b038d349d93a13d5de3ca8709929e%22	https://6wripy-n1.myshopify.com/collections/itens-para-casa	C:/Users/User/Downloads/TELANOVAPRODUTOS/TELANOVAPRODUTOS/6wripy-n1.myshopify.com/collections/itens-para-casa.html	(from https://6wripy-n1.myshopify.com/collections/notebook)
02:16:15	429702/429702	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:4e8ef209740a7f84cae1eea1cb35f7e9%22	https://6wripy-n1.myshopify.com/collections/maquinas-de-lavar	C:/Users/User/Downloads/TELANOVAPRODUTOS/TELANOVAPRODUTOS/6wripy-n1.myshopify.com/collections/maquinas-de-lavar.html	(from https://6wripy-n1.myshopify.com/collections/notebook)
02:16:16	578557/578557	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:eef22b174cd6d406c7a8eaf09c9c3a42%22	https://6wripy-n1.myshopify.com/collections/sala-de-jantar	C:/Users/User/Downloads/TELANOVAPRODUTOS/TELANOVAPRODUTOS/6wripy-n1.myshopify.com/collections/sala-de-jantar.html	(from https://6wripy-n1.myshopify.com/collections/notebook)
02:16:16	391860/391860	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:9b8842ba119defe871abcd4516b43e05%22	https://6wripy-n1.myshopify.com/collections/micro-ondas	C:/Users/User/Downloads/TELANOVAPRODUTOS/TELANOVAPRODUTOS/6wripy-n1.myshopify.com/collections/micro-ondas.html	(from https://6wripy-n1.myshopify.com/collections/notebook)
02:16:17	391667/391667	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:7ab22ce623c89760722eb351e2643e50%22	https://6wripy-n1.myshopify.com/collections/pneus	C:/Users/User/Downloads/TELANOVAPRODUTOS/TELANOVAPRODUTOS/6wripy-n1.myshopify.com/collections/pneus.html	(from https://6wripy-n1.myshopify.com/collections/notebook)
